,PseudoTime1,PseudoTime2
E886_341,0.42607,
E1428_485,0.60652,
E1283_326,0.40726999999999997,
E5_421,0.52632,
E769_460,,0.57519
E34_177,0.22055,
E1111_587,0.73434,
E1698_513,0.6416,
E1472_170,,0.21178000000000002
E1090_534,0.66792,
E1689_380,0.47494,
E759_736,,0.92105
E47_623,,0.77945
E633_742,,0.9285700000000001
E1401_259,0.32331,
E1205_309,0.38595999999999997,
E333_754,,0.9436100000000001
E222_340,0.42481,
E85_777,,0.9724299999999999
E509_204,0.25439,
E547_789,0.9874700000000001,
E1274_172,,0.21429
E110_315,,0.39348
E197_80,0.099,
E1072_520,,0.6503800000000001
E28_419,,0.52381
E131_347,0.43358,
E1287_701,,0.8771899999999999
E933_501,,0.62657
E1217_583,0.72932,
E9_63,0.07769,
E725_558,0.69799,
E1424_455,0.56892,
E740_39,0.047619999999999996,
E1083_647,,0.80952
E440_443,0.55388,
E862_24,0.02882,
E1254_665,,0.8320799999999999
E486_774,0.96867,
E1081_340,,0.42481
E405_15,0.01754,
E909_598,0.74812,
E1878_292,,0.36466
E287_75,,0.09272999999999999
E266_70,0.08647,
E465_118,0.14662,
E1087_79,0.09774,
E1210_79,0.09774,
E1862_259,,0.32331
E1548_54,,0.06642
E706_647,0.80952,
E156_791,0.9899700000000001,
E1139_606,0.75815,
E735_168,,0.20926999999999998
E1641_755,,0.94486
E196_578,,0.72306
E493_104,0.12907000000000002,
E68_248,0.30951999999999996,
E947_771,0.96491,
E1016_517,0.64662,
E981_493,0.61654,
E1022_724,0.90602,
E90_476,,0.59524
E1972_285,0.35589,
E843_711,0.8897200000000001,
E1126_791,0.9899700000000001,
E1293_209,,0.26065
E1914_678,,0.8483700000000001
E102_96,0.11905,
E1947_669,,0.83709
E1361_539,0.67419,
E1798_783,0.97995,
E1001_129,,0.1604
E525_404,,0.5050100000000001
E1421_379,0.47368000000000005,
E976_423,0.52882,
E990_403,0.50376,
E1936_792,0.9912299999999999,
E490_529,0.66165,
E1233_729,,0.91228
E1261_575,0.7193,
E1750_176,0.2193,
E1024_181,0.22555999999999998,
E1714_701,0.8771899999999999,
E1886_661,0.8270700000000001,
E1765_352,,0.43985
E1331_648,0.8107800000000001,
E1464_158,,0.19674
E353_447,0.5589,
E133_576,,0.72055
E655_331,,0.41353
E403_369,,0.46115
E654_401,,0.50125
E1163_749,0.93734,
E487_586,0.7330800000000001,
E1250_250,0.31203000000000003,
E1888_472,0.59023,
E251_448,0.56015,
E890_732,0.91604,
E166_145,0.18045,
E98_585,,0.73183
E812_435,,0.54386
E1450_339,,0.42356000000000005
E1696_459,0.57393,
E1447_690,,0.86341
E1536_400,,0.5
E966_194,,0.24185
E1385_443,,0.55388
E1267_463,0.57895,
E1033_26,0.031330000000000004,
E614_797,0.99749,
E1970_453,0.56642,
E492_128,0.15915,
E1441_49,0.06015,
E1434_606,,0.75815
E1201_477,0.59649,
E466_763,0.95489,
E1675_220,,0.27444
E783_20,0.023809999999999998,
E1228_611,,0.76441
E1581_748,0.93609,
E1865_542,,0.67794
E241_359,,0.44861999999999996
E1971_535,,0.6691699999999999
E858_708,0.8859600000000001,
E789_656,,0.8208
E787_213,0.26566,
E330_554,,0.69298
E958_587,,0.73434
E1967_31,,0.03759
E1028_570,,0.71303
E904_751,0.93985,
E1202_793,0.9924799999999999,
E89_115,,0.14286
E1150_457,0.57143,
E1590_154,,0.19172999999999998
E1496_629,0.78697,
E1768_175,0.21805,
E1512_708,0.8859600000000001,
E605_95,0.11779,
E1844_63,,0.07769
E400_351,,0.4386
E534_28,0.03383,
E1483_140,,0.17419
E1187_418,0.52256,
E116_322,,0.40226
E1418_293,0.36591,
E1008_394,,0.49248000000000003
E26_175,0.21805,
E1920_336,0.4198,
E1165_555,0.69424,
E1461_317,,0.39599
E310_648,0.8107800000000001,
E497_344,,0.42982
E1474_435,0.54386,
E710_188,,0.23434000000000002
E1490_484,,0.60526
E1436_176,0.2193,
E60_756,0.9461200000000001,
E1301_313,0.39098,
E974_256,0.31955,
E1925_589,0.7368399999999999,
E1133_677,0.8471200000000001,
E1465_673,0.84211,
E1007_69,,0.08521000000000001
E713_183,,0.22807
E20_4,,0.0037600000000000003
E1037_649,,0.81203
E1898_767,0.9599,
E1856_601,0.75188,
E632_745,0.9323299999999999,
E1317_311,0.38847,
E1195_333,0.41603999999999997,
E1927_34,0.04135,
E1717_707,,0.88471
E1026_323,0.40351,
E1053_245,0.30576,
E336_644,0.80576,
E306_135,0.16792,
E506_27,0.03258,
E355_4,0.0037600000000000003,
E75_575,,0.7193
E1034_267,0.33333,
E1366_221,0.27569,
E945_620,0.77569,
E374_566,0.70802,
E937_764,,0.95614
E1214_331,0.41353,
E1582_68,0.08396,
E461_168,0.20926999999999998,
E1810_235,,0.29323
E845_90,,0.11152999999999999
E446_50,0.0614,
E86_104,0.12907000000000002,
E1613_471,0.58897,
E757_624,,0.7807
E1495_722,,0.90351
E681_361,0.45113000000000003,
E1557_438,0.54762,
E961_638,0.79825,
E1112_780,,0.97619
E1149_791,,0.9899700000000001
E1232_573,0.7167899999999999,
E920_14,0.01629,
E1957_461,0.57644,
E1520_386,0.48246000000000006,
E58_194,,0.24185
E394_657,0.82206,
E188_153,,0.19047999999999998
E272_776,0.9711799999999999,
E24_318,,0.39724
E1902_658,0.82331,
E698_629,0.78697,
E499_772,,0.9661700000000001
E1702_734,0.91855,
E1808_787,0.9849600000000001,
E1586_277,,0.34586
E452_734,0.91855,
E1316_159,0.19799,
E372_438,,0.54762
E788_384,,0.47995
E1666_83,,0.10275999999999999
E1249_637,0.79699,
E1956_509,0.63659,
E1680_498,,0.6228100000000001
E1671_200,0.24936999999999998,
E1937_12,,0.01378
E1570_428,,0.53509
E1541_583,0.72932,
E464_205,0.25564000000000003,
E988_571,,0.71429
E674_288,0.35965,
E1011_14,0.01629,
E852_363,,0.45363000000000003
E418_231,,0.28822
E1039_733,0.9172899999999999,
E159_277,0.34586,
E173_624,,0.7807
E388_755,0.94486,
E25_44,0.05388,
E906_293,,0.36591
E646_119,0.14787,
E416_690,0.86341,
E903_502,0.6278199999999999,
E1067_680,,0.85088
E560_758,0.94862,
E1934_651,0.8145399999999999,
E1716_776,,0.9711799999999999
E637_293,,0.36591
E1874_416,0.52005,
E1817_465,0.58145,
E1897_42,0.051379999999999995,
E1227_234,0.29198,
E1517_106,,0.13158
E190_352,,0.43985
E1892_473,0.59148,
E1035_208,0.2594,
E1498_610,,0.7631600000000001
E1672_412,,0.5150399999999999
E389_523,0.6541399999999999,
E1603_637,0.79699,
E664_248,0.30951999999999996,
E592_659,0.8245600000000001,
E277_482,0.6027600000000001,
E115_12,,0.01378
E1605_434,0.54261,
E218_766,,0.95865
E130_17,0.02005,
E174_543,,0.6792
E1585_386,0.48246000000000006,
E1715_100,,0.12405999999999999
E872_300,0.37469,
E1941_122,,0.15163
E827_773,0.9674200000000001,
E262_358,0.44737,
E774_365,0.45614,
E17_549,0.68672,
E1792_717,0.8972399999999999,
E1977_172,0.21429,
E297_322,0.40226,
E30_716,,0.89599
E1160_50,0.0614,
E223_234,0.29198,
E1020_540,0.6754399999999999,
E387_566,,0.70802
E1367_434,,0.54261
E815_508,0.63534,
E99_469,,0.5864699999999999
E1348_324,0.40476,
E1969_287,0.3584,
E531_414,0.51754,
E1860_515,0.6441100000000001,
E808_120,,0.14912
E1803_288,,0.35965
E382_440,0.55013,
E594_691,0.86466,
E616_452,0.56516,
E43_138,0.17168,
E1415_534,,0.66792
E1371_562,,0.70301
E1990_334,0.41728999999999994,
E780_302,0.37719,
E1089_701,0.8771899999999999,
E833_535,0.6691699999999999,
E32_458,,0.57268
E1412_57,0.07017999999999999,
E1179_324,,0.40476
E1755_71,0.08772,
E878_375,0.46867,
E1918_626,,0.7832100000000001
E1994_237,,0.29574
E1122_650,0.81328,
E1572_17,0.02005,
E1363_678,0.8483700000000001,
E600_411,0.51378,
