,PseudoTime1,PseudoTime2
E1561_26,0.031330000000000004,
E378_630,,0.78822
E1414_701,0.8771899999999999,
E1728_783,,0.97995
E1396_698,0.8734299999999999,
E433_603,,0.75439
E1453_766,,0.95865
E1718_159,,0.19799
E243_700,0.8759399999999999,
E327_646,,0.8082699999999999
E1390_671,,0.8396
E375_137,,0.17043
E1989_64,0.07895,
E1484_265,,0.33083
E1931_641,0.80201,
E1351_601,0.75188,
E742_766,0.95865,
E1673_30,0.03634,
E1234_595,0.74436,
E1616_1,,0.0
E1085_347,,0.43358
E1270_409,0.5112800000000001,
E262_378,0.47243,
E1421_305,0.38095,
E550_547,,0.68421
E1985_255,0.3183,
E686_562,,0.70301
E1091_228,0.28446,
E477_39,,0.047619999999999996
E1140_722,,0.90351
E437_23,0.027569999999999997,
E411_203,0.25313,
E1614_430,,0.53759
E1509_509,,0.63659
E765_721,0.9022600000000001,
E1073_440,0.55013,
E17_377,,0.47118000000000004
E1463_675,,0.8446100000000001
E1809_287,0.3584,
E1392_624,0.7807,
E1183_665,,0.8320799999999999
E1512_524,,0.6553899999999999
E653_300,,0.37469
E994_171,0.21303000000000002,
E280_579,0.72431,
E1317_757,,0.94737
E750_407,0.50877,
E922_229,,0.28570999999999996
E1823_372,0.46491000000000005,
E1762_250,0.31203000000000003,
E1077_225,,0.2807
E1713_486,,0.60777
E1482_514,0.64286,
E1526_736,,0.92105
E915_106,0.13158,
E1336_355,0.44361000000000006,
E1994_70,,0.08647
E1837_729,0.91228,
E778_306,,0.38221
E1831_650,,0.81328
E622_788,0.9862200000000001,
E894_334,,0.41728999999999994
E856_363,0.45363000000000003,
E1895_269,0.33584,
E574_245,0.30576,
E507_716,0.89599,
E24_157,,0.19549
E1339_723,0.90476,
E207_40,0.04887,
E928_716,0.89599,
E929_553,,0.6917300000000001
E960_186,,0.23183
E1026_592,,0.7406
E1090_105,0.13033,
E558_693,0.8671700000000001,
E887_618,,0.77318
E35_308,0.38471,
E1088_544,0.68045,
E719_249,0.31078,
E427_527,,0.65915
E357_47,0.05764,
E1613_256,,0.31955
E1501_556,0.6954899999999999,
E1969_552,0.69048,
E1934_155,0.19297999999999998,
E1867_430,0.53759,
E781_330,0.41228000000000004,
E1750_456,,0.57018
E1563_118,0.14662,
E1974_788,0.9862200000000001,
E920_406,0.50752,
E1833_114,0.1416,
E538_663,,0.82957
E289_45,0.055139999999999995,
E747_222,,0.27694
E1153_719,0.89975,
E1796_284,,0.35464
E1305_741,,0.92732
E893_441,0.55138,
E1963_445,0.5563899999999999,
E815_341,,0.42607
E1503_785,,0.98246
E1791_59,,0.07268
E727_641,0.80201,
E1558_648,,0.8107800000000001
E1046_131,0.16291,
E223_463,0.57895,
E1378_307,,0.38345999999999997
E1979_126,,0.15664
E709_32,0.03885,
E530_460,,0.57519
E1941_539,,0.67419
E1464_770,,0.9636600000000001
E98_750,0.9386,
E258_255,,0.3183
E336_76,0.09398,
E110_178,0.2218,
E876_671,,0.8396
E1347_299,,0.37343000000000004
E839_629,,0.78697
E916_770,0.9636600000000001,
E177_52,,0.06391000000000001
E1814_112,0.1391,
E1001_399,0.49875,
E634_532,0.6654100000000001,
E1109_164,,0.20426
E1468_623,,0.77945
E126_358,,0.44737
E919_687,0.85965,
E1731_153,,0.19047999999999998
E1480_381,,0.47618999999999995
E597_605,0.75689,
E396_668,,0.8358399999999999
E895_411,0.51378,
E132_139,0.17293,
E724_521,,0.65163
E1756_388,0.48496000000000006,
E816_400,,0.5
E1916_201,0.25063,
E138_6,0.00627,
E454_495,0.61905,
E1492_9,0.010029999999999999,
E931_575,0.7193,
E519_113,0.14035,
E937_153,0.19047999999999998,
E704_307,0.38345999999999997,
E1292_541,,0.67669
E1435_84,,0.10400999999999999
E888_501,0.62657,
E118_428,0.53509,
E392_784,0.9812,
E1838_468,0.58521,
E1020_72,0.08897000000000001,
E1700_429,0.5363399999999999,
E1440_442,,0.5526300000000001
E1569_612,0.76566,
E766_775,0.9699200000000001,
E1249_658,,0.82331
