,PseudoTime1,PseudoTime2
E166_163,,0.20301
E820_188,,0.23434000000000002
E217_667,0.8345899999999999,
E1808_595,,0.74436
E152_767,0.9599,
E1043_780,0.97619,
E1198_730,0.91353,
E1232_728,0.9110299999999999,
E265_692,,0.8659100000000001
E9_243,,0.30326
E543_624,0.7807,
E1000_598,0.74812,
E733_433,,0.54135
E233_201,0.25063,
E1775_604,0.75564,
E255_347,0.43358,
E1875_782,0.9787,
E1955_169,0.21053000000000002,
E453_459,0.57393,
E1475_44,0.05388,
E866_460,0.57519,
E1724_320,0.39975,
E906_588,0.73559,
E1027_451,0.56391,
E86_185,0.23058,
E76_57,,0.07017999999999999
E1346_797,0.99749,
E636_606,0.75815,
E1463_296,0.36967,
E1688_691,0.86466,
E1471_8,0.00877,
E1611_306,0.38221,
E573_490,,0.61278
E1597_471,0.58897,
E731_556,0.6954899999999999,
E196_759,0.9498700000000001,
E723_734,,0.91855
E1457_728,0.9110299999999999,
E216_163,,0.20301
E1657_503,0.62907,
E1304_721,,0.9022600000000001
E116_562,0.70301,
E1276_473,0.59148,
E619_373,0.46617,
E1968_623,,0.77945
E1418_274,,0.34210999999999997
E211_43,0.052629999999999996,
E390_368,0.4599,
E1079_487,0.60902,
E1394_231,,0.28822
E1899_747,0.93484,
E1487_182,0.22682,
E526_362,,0.45238
E548_45,0.055139999999999995,
E1605_799,1.0,
E1439_337,,0.42105
E307_463,0.57895,
E1546_610,0.7631600000000001,
E1885_755,0.94486,
E358_138,0.17168,
E1584_17,,0.02005
E1896_33,0.0401,
E1089_547,,0.68421
E1428_73,0.09022999999999999,
E7_474,0.59273,
E754_700,0.8759399999999999,
E1470_632,0.79073,
E294_661,0.8270700000000001,
E269_578,,0.72306
E177_11,,0.01253
E1701_641,,0.80201
E1923_621,,0.77694
E475_165,0.20551,
E952_197,,0.24561
E1984_646,,0.8082699999999999
E1953_452,0.56516,
E325_788,,0.9862200000000001
E848_311,,0.38847
E1502_654,0.8183,
E1395_96,0.11905,
E412_681,0.8521299999999999,
E1627_302,0.37719,
E1760_516,0.64536,
E699_416,,0.52005
E1168_671,0.8396,
E1670_63,0.07769,
E1111_141,0.17544,
E1908_26,0.031330000000000004,
E56_567,,0.70927
E745_225,,0.2807
E1561_457,0.57143,
E788_26,0.031330000000000004,
E861_519,0.64912,
E851_189,,0.23559000000000002
E1171_750,,0.9386
E1374_225,,0.2807
E1540_613,0.7669199999999999,
E300_85,0.10525999999999999,
E718_610,,0.7631600000000001
E973_448,,0.56015
E1987_722,0.90351,
E1277_708,0.8859600000000001,
E258_442,,0.5526300000000001
E1127_198,0.24686999999999998,
E1443_789,0.9874700000000001,
E903_532,0.6654100000000001,
E44_14,,0.01629
E1053_212,0.26441,
E1763_344,0.42982,
E1868_681,0.8521299999999999,
E1690_563,0.70426,
E1912_757,0.94737,
E950_718,0.8985,
E1035_345,,0.43108
E1284_728,0.9110299999999999,
E214_87,0.10777,
E883_667,0.8345899999999999,
E1465_521,0.65163,
E1225_345,,0.43108
E1526_219,,0.27318000000000003
E441_776,0.9711799999999999,
E1175_772,,0.9661700000000001
E360_733,0.9172899999999999,
E423_399,0.49875,
E1196_559,,0.69925
E1013_679,0.84962,
E1186_198,0.24686999999999998,
E1681_299,0.37343000000000004,
E450_254,0.31704,
E235_789,0.9874700000000001,
E449_10,0.01128,
E1948_563,0.70426,
E428_316,0.39474000000000004,
E1340_694,0.8684200000000001,
E1258_754,0.9436100000000001,
E1300_656,0.8208,
E1307_106,0.13158,
E1015_397,0.49623999999999996,
E516_603,0.75439,
E1567_229,0.28570999999999996,
E1142_438,0.54762,
E232_217,0.27068000000000003,
E1132_766,0.95865,
E1715_199,,0.24811999999999998
E783_370,0.46241000000000004,
E1900_646,0.8082699999999999,
E865_228,0.28446,
E373_716,0.89599,
E289_723,0.90476,
E830_771,0.96491,
E613_337,0.42105,
E4_665,0.8320799999999999,
E1651_130,,0.16165
E569_340,,0.42481
E322_264,,0.32957
E918_618,,0.77318
E818_451,0.56391,
E1506_258,0.32206,
E1165_17,,0.02005
E1064_601,0.75188,
E273_52,0.06391000000000001,
E1840_81,,0.10025
E595_646,0.8082699999999999,
E1853_241,,0.30075
E1869_283,0.35338,
E929_700,0.8759399999999999,
E1305_175,0.21805,
E18_330,0.41228000000000004,
E80_446,0.5576399999999999,
E1152_74,0.09147999999999999,
E1289_472,,0.59023
E988_703,0.8797,
E180_310,0.38722,
E1202_666,0.8333299999999999,
E924_103,,0.12782000000000002
E142_207,0.25815,
E1827_66,,0.08145
E895_263,,0.32832
E308_450,0.56266,
