,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E832_27,,,,0.03015
E635_195,,0.24120999999999998,,
E753_480,,0.59925,,
E121_325,,,0.40452,
E56_332,,,,0.41331999999999997
E1514_731,,0.9145700000000001,,
E330_700,,,0.8756299999999999,
E1748_216,,0.26759,,
E1212_401,0.5,,,
E622_233,,0.28894000000000003,,
E1198_156,,0.19221,,
E86_735,0.9196,,,
E522_198,,0.24497,,
E1393_691,0.8643200000000001,,,
E491_37,,,,0.042710000000000005
E1077_530,,0.66206,,
E965_573,,0.71608,,
E962_14,,0.013819999999999999,,
E1846_336,,0.41834,,
E1445_39,,0.04523,,
E1094_159,,0.19598,,
E1045_125,,,0.15327000000000002,
E1914_526,,,,0.65704
E673_128,,0.15704,,
E1988_433,0.5402,,,
E1220_574,,0.71734,,
E1937_157,,0.19347,,
E1180_155,,0.19095,,
E1464_333,,0.41457,,
E897_589,0.7361800000000001,,,
E1749_641,,0.8015100000000001,,
E1597_60,,0.07161000000000001,,
E683_506,,,,0.6319100000000001
E854_12,,,,0.011309999999999999
E412_374,,,,0.46608
E1115_116,,0.14196,,
E1147_196,,0.24245999999999998,,
E1726_762,,0.95352,,
E1519_493,,0.61558,,
E1889_643,,,,0.80402
E1057_735,,,0.9196,
E191_467,,0.58291,,
E1219_774,,0.96859,,
E1249_415,,0.51759,,
E1753_346,,,,0.4309
E426_453,,,0.56533,
E48_708,,0.8856799999999999,,
E1698_230,0.28518000000000004,,,
E804_704,,0.88065,,
E520_144,,0.17714000000000002,,
E793_269,0.33416999999999997,,,
E554_432,,0.53894,,
E639_278,,0.34548,,
E118_583,,,,0.72864
E1959_582,0.72739,,,
E852_127,,,,0.15578
E1719_764,,,,0.9560299999999999
E214_749,0.93719,,,
E347_407,,0.50754,,
E1817_489,0.61055,,,
E612_672,0.84045,,,
E30_413,,0.51508,,
E415_449,,,,0.5603
E1735_413,,,,0.51508
E392_355,,0.44221000000000005,,
E898_692,,0.8655799999999999,,
E757_41,,0.04774,,
E1940_73,,,,0.08794
E1125_84,,0.10176,,
E1783_512,,0.63945,,
E396_328,,,,0.40829
E1590_238,,0.29523,,
E1025_347,,,,0.43216000000000004
E135_795,,0.99497,,
E728_759,,0.94975,,
E364_437,0.54523,,,
E1617_16,,,,0.01633
E593_359,,,,0.44723999999999997
E967_381,,0.47486999999999996,,
