,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E215_649,,0.81305,,
E1229_334,,,,0.41781999999999997
E95_378,,0.47302,,
E1665_183,0.22835999999999998,,,
E1238_717,,0.8983700000000001,,
E1217_706,,0.8845700000000001,,
E409_565,,0.70765,,
E1921_285,0.35634,,,
E969_214,,0.26725,,
E963_538,,0.67378,,
E1340_52,,,0.06398999999999999,
E784_681,,,,0.8532
E149_581,0.72773,,,
E220_218,,,0.27226999999999996,
E657_778,,,,0.97491
E1823_668,0.8368899999999999,,,
E1582_300,,,,0.37516
E1240_21,,0.02509,,
E871_636,0.79674,,,
E1237_423,,0.52949,,
E490_545,,0.6825600000000001,,
E1616_372,0.4655,,,
E1420_140,0.1744,,,
E641_672,0.84191,,,
E239_162,0.20201,,,
E489_544,,,0.6813,
E498_507,,0.63488,,
E896_619,,0.77541,,
E1872_393,,0.49183999999999994,,
E1209_369,,0.46173000000000003,,
E1360_476,0.5959800000000001,,,
E111_702,,0.87955,,
E1236_321,,0.40151,,
E785_381,,,0.47678999999999994,
E605_365,0.45671000000000006,,,
E1049_148,0.18444000000000002,,,
E1674_392,0.49058999999999997,,,
E1575_356,,0.44542,,
E98_260,0.32497,,,
E1900_413,0.51694,,,
E1889_277,,0.3463,,
E1140_346,0.43287,,,
E423_520,0.6511899999999999,,,
E354_133,,0.16562000000000002,,
E1965_346,0.43287,,,
E1258_791,,0.9912200000000001,,
E591_182,0.2271,,,
E1213_615,0.7703899999999999,,,
E1975_285,,0.35634,,
E650_240,0.29986999999999997,,,
E1483_653,0.81807,,,
E70_44,,0.05395,,
E1939_720,0.9021299999999999,,,
E1873_160,,0.1995,,
E1685_182,,,0.2271,
E1507_405,,0.5069,,
E1400_45,,0.05521,,
E1543_559,,0.70013,,
E1484_125,,,0.15558,
E110_423,,0.52949,,
E874_11,0.01255,,,
E627_407,0.50941,,,
E1064_406,,0.5081600000000001,,
E1970_624,,,0.78168,
E1480_623,,0.7804300000000001,,
E1292_508,0.6361399999999999,,,
E1045_769,0.9636100000000001,,,
E977_569,0.71267,,,
E1661_245,,0.30615,,
E1989_795,,,,0.99624
E1797_454,0.56838,,,
E592_138,,0.17189000000000002,,
E980_725,,0.90841,,
E184_353,,0.44166000000000005,,
E336_618,0.77415,,,
E1486_207,,,,0.25847
E1581_98,,0.12170999999999998,,
E1257_300,,0.37516,,
E884_318,0.39774,,,
E893_659,0.8256,,,
E1885_602,,,0.75408,
E0_79,,,,0.09787
E1374_760,,0.95232,,
E383_547,,0.68507,,
E577_228,,0.28481999999999996,,
E1698_498,0.62359,,,
E222_636,0.79674,,,
E1106_105,0.13049000000000002,,,
E1_239,0.29862,,,
E1739_644,,0.80678,,
E1369_348,,0.43538000000000004,,
E1681_537,,,,0.67252
E619_215,,0.26850999999999997,,
E1636_106,,0.13174,,
E1370_705,,,,0.88331
E1438_750,,0.9397700000000001,,
E600_162,,0.20201,,
E1433_267,0.33375,,,
E1977_740,0.9272299999999999,,,
E1315_63,,,,0.07779
E1160_382,,,,0.47803999999999996
E1405_227,,,,0.28356
E1856_629,0.78795,,,
E1583_665,,0.8331200000000001,,
E741_722,0.90464,,,
E835_464,,0.5809300000000001,,
E1902_327,,,0.40903,
E804_202,,0.2522,,
E1329_149,,0.1857,,
E368_673,,0.84316,,
E1911_678,,0.84944,,
E444_308,,0.38519000000000003,,
E393_756,,0.9473,,
E31_790,,0.9899600000000001,,
E1282_447,,0.5596,,
E50_725,,,0.90841,
E1384_217,0.27102,,,
E1547_291,0.36386,,,
E868_85,0.1054,,,
E1170_202,,0.2522,,
E1425_543,,0.68005,,
E542_715,0.89586,,,
E290_678,,,0.84944,
E914_603,0.7553300000000001,,,
E1660_529,,0.6624800000000001,,
E1782_259,,0.32371,,
E384_131,0.16310999999999998,,,
E185_746,,0.93476,,
E1363_45,0.05521,,,
E1780_140,,,,0.1744
E1012_282,,,0.35257,
E1401_142,,0.17690999999999998,,
E1996_381,,0.47678999999999994,,
E740_188,0.23463,,,
E1025_334,,,,0.41781999999999997
E1712_314,0.39271999999999996,,,
E193_207,0.25847,,,
E1443_378,,0.47302,,
E1622_536,,0.67127,,
E544_758,0.94981,,,
E1018_533,0.6675,,,
E382_304,,0.38018,,
E1474_618,,0.77415,,
E844_306,0.38269000000000003,,,
E1435_53,0.06523999999999999,,,
E1699_660,,0.82685,,
E1324_188,,,,0.23463
E109_261,0.32621999999999995,,,
E1183_47,0.05772000000000001,,,
E1983_29,0.03513,,,
E1727_321,,0.40151,,
E1358_717,0.8983700000000001,,,
E1027_736,0.9222100000000001,,,
E1118_493,0.61731,,,
E931_7,0.007529999999999999,,,
E1628_411,0.51443,,,
E1355_63,,0.07779,,
E1335_354,,0.44291,,
E1440_198,0.24718,,,
E1138_731,0.9159299999999999,,,
E970_777,0.97365,,,
