""	"DMRT1"	"DKK1"	"WNT4"	"SRY"	"NR0B1"	"RSPO1"	"NR5A1"	"SOX9"	"CTNNB1"	"WT1pKTS"	"FGF9"	"DHH"	"PGD2"	"FOXL2"	"AMH"	"CBX2"	"UGR"	"GATA4"	"WT1mKTS"
"E801_438"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E1_769"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1795_733"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E645_767"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E487_58"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E284_5"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0
"E1797_596"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	1	2
"E1058_571"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E426_671"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1421_298"	2	2	0	2	2	0	1	0	0	2	0	0	0	0	0	0	0	2	2
"E1342_303"	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1838_217"	2	2	2	2	2	1	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1205_441"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E243_17"	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	2	1	2
"E1297_71"	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	2	2	1	2
"E955_615"	2	2	0	2	0	0	2	2	0	2	1	2	1	0	1	0	0	2	2
"E1249_687"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E911_206"	2	2	2	2	2	0	2	1	0	2	0	0	0	0	0	1	0	2	2
"E356_143"	0	0	2	2	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E585_315"	2	2	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	2	2
"E1875_274"	2	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1395_781"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E64_718"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	1	2
"E1582_573"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E395_752"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E700_361"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E709_134"	0	0	2	2	2	0	2	0	0	2	0	0	0	0	0	2	0	2	1
"E1343_759"	0	0	1	0	2	2	0	0	1	0	0	0	0	1	0	0	0	1	2
"E84_794"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1434_21"	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	2	2	2
"E1329_321"	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2
"E322_105"	0	0	1	0	1	0	2	0	0	2	0	0	0	0	0	2	1	2	2
"E140_372"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E106_563"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1606_316"	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1508_539"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1102_404"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E905_125"	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1196_515"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E552_450"	2	2	0	2	2	0	1	0	0	2	0	0	0	0	0	0	0	2	2
"E1698_699"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	1	2
"E1401_220"	0	0	2	2	2	2	0	0	1	2	0	0	0	0	0	0	0	1	2
"E1097_282"	0	0	2	0	2	2	0	0	1	2	0	0	0	0	0	0	0	1	2
"E1538_410"	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	1
"E676_765"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E414_718"	0	0	1	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E92_524"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1416_382"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1179_586"	2	2	0	2	0	0	1	2	0	2	2	2	1	0	1	0	0	2	2
"E1597_383"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	1	2
"E1680_760"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E670_789"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1748_438"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E831_421"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E125_263"	2	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1830_130"	0	0	2	0	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E960_401"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E722_718"	0	0	2	0	2	2	0	0	1	2	0	0	0	0	0	0	0	2	2
"E30_71"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E1561_285"	0	0	2	0	2	2	0	0	1	1	0	0	0	0	0	0	0	2	2
"E242_213"	2	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2
"E496_41"	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	2	1	2
"E1647_587"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E566_374"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1673_380"	0	1	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	1	2
"E1846_453"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E717_283"	0	0	2	0	2	2	0	0	1	0	0	0	0	0	0	0	0	2	2
"E410_465"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E396_717"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1225_707"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E593_600"	2	2	0	2	0	0	2	2	0	1	2	2	1	0	1	0	0	2	2
"E1514_727"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1287_584"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1193_657"	2	2	0	1	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1978_106"	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1694_570"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	1
"E1534_250"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1798_332"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E1651_442"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1500_157"	0	0	1	2	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1427_564"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E437_616"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E14_185"	0	0	2	2	2	0	2	0	0	2	0	0	0	0	0	0	0	2	2
"E1134_316"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1032_80"	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E1603_103"	0	0	1	1	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
